Year,Series Code,Percentage
1970,65+,2.56077034
1971,65+,2.631177448
1972,65+,2.725447917
1973,65+,2.828491401
1974,65+,2.922607276
1975,65+,3.002445269
1976,65+,3.068698822
1977,65+,3.119767466
1978,65+,3.161435063
1979,65+,3.20577991
1980,65+,3.255743459
1981,65+,3.312310833
1982,65+,3.375601882
1983,65+,3.43798184
1984,65+,3.493157708
1985,65+,3.540744771
1986,65+,3.580100317
1987,65+,3.610685966
1988,65+,3.637104184
1989,65+,3.666493979
1990,65+,3.700122643
1991,65+,3.738128636
1992,65+,3.780382894
1993,65+,3.823974045
1994,65+,3.865965501
1995,65+,3.90748064
1996,65+,3.945330889
1997,65+,3.973589095
1998,65+,3.999797437
1999,65+,4.038340795
2000,65+,4.100010242
2001,65+,4.185370328
2002,65+,4.288490664
2003,65+,4.397064983
2004,65+,4.495898216
2005,65+,4.585736298
2006,65+,4.675184622
2007,65+,4.768987964
2008,65+,4.873055596
2009,65+,4.992728904
2010,65+,5.112144828
2011,65+,5.232236983
2012,65+,5.370034195
2013,65+,5.523446599
2014,65+,5.692319809
2015,65+,5.876382706
2016,65+,6.074786232
2017,65+,6.288742182
2018,65+,6.518916637
2019,65+,6.760912333
2020,65+,7.011719852
1970,15-64,52.80476666
1971,15-64,53.2436309
1972,15-64,53.69287697
1973,15-64,54.1468809
1974,15-64,54.60774048
1975,15-64,55.0994767
1976,15-64,55.61145032
1977,15-64,56.14889069
1978,15-64,56.68599905
1979,15-64,57.16318833
1980,15-64,57.56034307
1981,15-64,57.860101
1982,15-64,58.06016416
1983,15-64,58.21000021
1984,15-64,58.35735433
1985,15-64,58.53456102
1986,15-64,58.75109103
1987,15-64,59.0052749
1988,15-64,59.30460653
1989,15-64,59.62396026
1990,15-64,59.91893786
1991,15-64,60.15883367
1992,15-64,60.35577934
1993,15-64,60.53623563
1994,15-64,60.71956882
1995,15-64,60.9164286
1996,15-64,61.1409499
1997,15-64,61.4163207
1998,15-64,61.74396766
1999,15-64,62.10683124
2000,15-64,62.36982325
2001,15-64,62.56241978
2002,15-64,62.82570179
2003,15-64,63.17091455
2004,15-64,63.60177991
2005,15-64,64.10010772
2006,15-64,64.6451866
2007,15-64,65.21708222
2008,15-64,65.81891268
2009,15-64,66.45174518
2010,15-64,67.06260672
2011,15-64,67.58150739
2012,15-64,68.00625141
2013,15-64,68.37067235
2014,15-64,68.68392009
2015,15-64,68.94694868
2016,15-64,69.17659501
2017,15-64,69.37065324
2018,15-64,69.51097187
2019,15-64,69.61945319
2020,15-64,69.7111909
1970,0-14,44.634463
1971,0-14,44.12519165
1972,0-14,43.58167512
1973,0-14,43.0246277
1974,0-14,42.46965224
1975,0-14,41.89807803
1976,0-14,41.31985086
1977,0-14,40.73134184
1978,0-14,40.15256589
1979,0-14,39.63103176
1980,0-14,39.18391347
1981,0-14,38.82758816
1982,0-14,38.56423396
1983,0-14,38.35201795
1984,0-14,38.14948796
1985,0-14,37.92469421
1986,0-14,37.66880866
1987,0-14,37.38403913
1988,0-14,37.05828928
1989,0-14,36.70954576
1990,0-14,36.3809395
1991,0-14,36.10303769
1992,0-14,35.86383776
1993,0-14,35.63979033
1994,0-14,35.41446567
1995,0-14,35.17609076
1996,0-14,34.91371922
1997,0-14,34.6100902
1998,0-14,34.2562349
1999,0-14,33.85482797
2000,0-14,33.53016651
2001,0-14,33.25220989
2002,0-14,32.88580755
2003,0-14,32.43202046
2004,0-14,31.90232188
2005,0-14,31.31415599
2006,0-14,30.67962878
2007,0-14,30.01392982
2008,0-14,29.30803172
2009,0-14,28.55552591
2010,0-14,27.82524845
2011,0-14,27.18625563
2012,0-14,26.6237144
2013,0-14,26.10588105
2014,0-14,25.6237601
2015,0-14,25.17666861
2016,0-14,24.74861876
2017,0-14,24.34060458
2018,0-14,23.97011149
2019,0-14,23.61963448
2020,0-14,23.27708925